symbol,fullName,sector,ltp,point_change,percentage_change,volume,amount
NUBL,Nirdhan Utthan Bank,Microfinance,605.4,-7.6,-1.24,2996,1814556.8
NWCL,Nepal Warehousing Company Limited,Others,688,-8.9,-1.28,4545,3103931.4
NYADI,Nyadi Hydropower Limited,HydroPower,370,-2.2,-0.59,5382,1972606
OHL,Oriental Hotels,Hotels And Tourism,665,-5,-0.75,2378,1562800
OMPL,Om Megashree Pharmaceuticals Limited,Manu.& Pro.,893,-12,-1.33,4184,3750980.5
PBD84,10.15% Prime Debenture 2084,Bond,1069,-33,-2.99,0,26725
PCBL,Prime Commercial Bank,Banking,240,-0.1,-0.04,41391,9925898.8
PCIL,Palpa Cement Industries Limited,Manu.& Pro.,622.29,-12.71,-2,23281,14498135.71
PHCL,Peoples Hydropower Company Limited,HydroPower,296,-1.5,-0.5,27204,8041596.5
PMHPL,Panchakanya Mai Hydropower,HydroPower,318,-1,-0.31,6014,1891035
PMLI,Prabhu Mahalaxmi Life Insurance Limited,Life Insurance,437.5,-1.2,-0.27,1893,810918.9
PPCL,Panchthar Power Company Ltd.,HydroPower,338.9,-1.1,-0.32,4212,1419489.7
PPL,Peoples Power Limited,HydroPower,328.4,-1.6,-0.48,9314,3034464.1
PRIN,Prabhu Insurance,Non Life Insurance,666,-4.5,-0.67,3998,2662571.6
PROFL,Progressive Finance,Finance,420,-3.1,-0.73,13809,5790234.3
PRSF,Prabhu Smart Fund,Mutual Fund,12.91,0.02,0.16,0,121324
PRVU,Prabhu Bank,Banking,191,-1.3,-0.68,132896,25352795.1
PSF,Prabhu Select Fund,Mutual Fund,12,0.2,1.69,0,45231
PURE,Pure Energy Limited,Others,820,-5.5,-0.67,20112,16735279.1
RADHI,Radhi Bidhyut Company,HydroPower,711,-4,-0.56,64637,45724012
RAWA,Rawa Energy Development Limited,HydroPower,420,-5.9,-1.39,14270,5996371.6
RBBF40,RBB Focus 40,Mutual Fund,9.01,-0.02,-0.22,0,17817.52
RBCL,Rastriya Beema,Non Life Insurance,14210,-90,-0.63,40,565300
RFPL,River Falls Power Limited,HydroPower,334.7,1.5,0.45,15251,5076626.3
RHGCL,Rapti Hydro And General Construction Limited,HydroPower,258.1,-2.9,-1.11,12524,3236443.7
RHPL,Rasuwagadhi Hydropower Company Limited,HydroPower,259,2.5,0.97,4000,1025084.5
RIDI,Ridi Power Company Limited,HydroPower,375,-9.9,-2.57,606959,230190274.7
RLEL,Ridge Line Energy Limited,HydroPower,890,4,0.45,4579,4033317.8
RLFL,Reliance Finance,Finance,452.6,-4.4,-0.96,10292,4686143.8
RMF1,RBB Mutual Fund 1,Mutual Fund,9.67,-0.01,-0.1,0,175255.5
RMF2,RBB Mutual Fund 2,Mutual Fund,9.78,-0.07,-0.71,0,2928
RNLI,Reliable Nepal Life Insurance Limited,Life Insurance,431.7,-0.8,-0.18,8967,3833860.1
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance,638,3,0.47,2369,1497444.2
RSML,Reliance Spinning Mills Limited,Manu.& Pro.,2620,78.4,3.08,27037,70153349
RSY,Reliable Samriddhi Yojana ,Mutual Fund,10.26,0.01,0.1,0,55042
