symbol,open,high,low,close,ltp,volume,prev_close,turnover,transactions,diff,diff_percent,fifty_two_week_high,fifty_two_week_low,confidence,dma20,diff_20dma,below_20dma
MBLEF,10.28,10.28,10.28,10.28,10.28,0,10.28,7792735.49,,0.0,0.0,10.8,8.59,,10.09,0.19,
MCHL,282.0,282.0,282.0,282.0,282.0,4818,280.1,1339616.8,,1.9,0.68,584.0,262.0,,283.38,-1.38,
MDB,578.2,578.2,578.2,578.2,578.2,3256,578.0,1888235.8,,0.2,0.03,729.7,530.5,,585.82,-7.62,
MEHL,296.0,296.0,296.0,296.0,296.0,3838,297.0,1129609.0,,-1.0,-0.34,519.0,290.0,,308.03,-12.03,
MEL,214.9,214.9,214.9,214.9,214.9,17055,214.6,3640337.1,,0.3,0.14,350.0,203.8,,217.87,-2.97,
MEN,595.1,595.1,595.1,595.1,595.1,43063,600.1,25733555.0,,-5.0,-0.83,683.4,535.0,,584.76,10.34,
MERO,661.2,661.2,661.2,661.2,661.2,2700,666.0,1804785.9,,-4.8,-0.72,1000.0,655.0,,685.31,-24.11,
MFIL,775.0,775.0,775.0,775.0,775.0,16576,785.0,12723086.4,,-10.0,-1.27,938.0,545.0,,784.93,-9.93,
MHCL,308.0,308.0,308.0,308.0,308.0,4148,312.1,1290077.0,,-4.1,-1.31,515.1,301.0,,318.07,-10.07,
MHL,470.0,470.0,470.0,470.0,470.0,3960,468.5,1848409.8,,1.5,0.32,664.0,445.0,,477.16,-7.16,
MHNL,242.0,242.0,242.0,242.0,242.0,3176,239.9,762937.5,,2.1,0.88,324.0,223.0,,239.39,2.61,
MKCL,1075.0,1075.0,1075.0,1075.0,1075.0,2299,1062.0,2431546.2,,13.0,1.22,1900.0,1043.0,,1116.88,-41.88,
MKHC,280.0,280.0,280.0,280.0,280.0,356138,285.8,96142125.3,,-5.8,-2.03,503.4,275.0,,292.0,-12.0,
MKHL,494.9,494.9,494.9,494.9,494.9,829,495.3,406349.9,,-0.4,-0.08,1027.0,457.0,,500.4,-5.5,
MKJC,453.0,453.0,453.0,453.0,453.0,6876,457.0,3119555.0,,-4.0,-0.88,635.0,434.1,,460.48,-7.48,
MLBBL,1119.0,1119.0,1119.0,1119.0,1119.0,306,1121.0,336748.0,,-2.0,-0.18,1690.0,1076.7,,1139.07,-20.07,
MLBL,350.9,350.9,350.9,350.9,350.9,19251,354.3,6754714.9,,-3.4,-0.96,468.6,340.1,,354.35,-3.45,
MLBS,1152.5,1152.5,1152.5,1152.5,1152.5,158,1119.0,177945.0,,33.5,2.99,1900.0,1113.0,,1167.08,-14.58,
MLBSL,1620.0,1620.0,1620.0,1620.0,1620.0,445,1600.0,690870.0,,20.0,1.25,2435.5,1615.0,,1711.58,-91.58,
MMF1,8.88,8.88,8.88,8.88,8.88,0,8.75,133800.8,,0.13,1.49,10.16,8.22,,9.48,-0.6,
MMKJL,454.9,454.9,454.9,454.9,454.9,6085,458.0,2727626.3,,-3.1,-0.68,699.9,429.1,,465.69,-10.79,
MNBBL,366.3,366.3,366.3,366.3,366.3,17348,369.5,6371652.3,,-3.2,-0.87,503.0,340.1,,369.0,-2.7,
MNMF1,9.8,9.8,9.8,9.8,9.8,0,9.6,132704.0,,0.2,2.08,10.4,8.53,,9.77,0.03,
MPFL,613.0,613.0,613.0,613.0,613.0,7828,611.0,4745459.0,,2.0,0.33,744.0,491.0,,614.86,-1.86,
MSHL,608.0,608.0,608.0,608.0,608.0,1103,609.0,672868.5,,-1.0,-0.16,955.0,576.0,,617.1,-9.1,
MSLB,1258.0,1258.0,1258.0,1258.0,1258.0,909,1255.0,1133658.8,,3.0,0.24,1710.0,1089.9,,1233.24,24.76,
NABBC,825.4,825.4,825.4,825.4,825.4,13163,843.0,10947575.9,,-17.6,-2.09,844.0,693.1,,773.47,51.93,
NABIL,556.0,556.0,556.0,556.0,556.0,83780,552.0,46536333.2,,4.0,0.72,568.0,471.0,,545.22,10.78,
NABILD2089,1040.0,1040.0,1040.0,1040.0,1040.0,0,1040.0,26000.0,,0.0,0.0,1154.0,1000.0,,1086.95,-46.95,
NADEP,729.0,729.0,729.0,729.0,729.0,570,730.0,404916.0,,-1.0,-0.14,1046.0,696.0,,734.96,-5.96,
NBF2,10.1,10.1,10.1,10.1,10.1,0,9.9,22969.0,,0.2,2.02,11.1,8.89,,9.99,0.11,
NBF3,9.55,9.55,9.55,9.55,9.55,0,9.51,45894.7,,0.04,0.42,10.67,8.35,,9.94,-0.39,
NBL,269.89,269.89,269.89,269.89,269.89,72438,269.0,19309018.4,,0.89,0.33,313.0,225.4,,267.33,2.56,
NESDO,1458.0,1458.0,1458.0,1458.0,1458.0,774,1469.0,1124410.0,,-11.0,-0.75,1879.0,1380.1,,1500.0,-42.0,
NFS,567.4,567.4,567.4,567.4,567.4,1379,568.0,778528.4,,-0.6,-0.11,851.0,550.0,,574.51,-7.11,
NGPL,408.7,408.7,408.7,408.7,408.7,74059,412.8,30369251.5,,-4.1,-0.99,502.0,343.0,,411.01,-2.31,
NHDL,640.0,640.0,640.0,640.0,640.0,3032,641.0,1920693.5,,-1.0,-0.16,796.0,606.3,,639.97,0.03,
NHPC,273.0,273.0,273.0,273.0,273.0,191698,277.1,52412193.6,,-4.1,-1.48,340.0,178.6,,265.86,7.14,
NIBLSTF,8.78,8.78,8.78,8.78,8.78,0,8.78,58714.0,,0.0,0.0,10.85,8.02,,8.8,-0.02,
NIBSF2,8.76,8.76,8.76,8.76,8.76,0,9.0,5248.0,,-0.24,-2.67,11.13,8.1,,8.87,-0.11,
NICA,326.0,326.0,326.0,326.0,326.0,43627,327.9,14194466.7,,-1.9,-0.58,428.4,304.5,,335.0,-9.0,
NICBF,9.57,9.57,9.57,9.57,9.57,0,9.1,11410.0,,0.47,5.16,11.2,8.45,,9.23,0.34,
NICFC,9.36,9.36,9.36,9.36,9.36,0,9.13,44726.0,,0.23,2.52,10.4,8.37,,9.25,0.11,
NICGF2,9.18,9.18,9.18,9.18,9.18,0,9.18,9195.8,,0.0,0.0,10.13,8.33,,9.25,-0.07,
NICL,499.0,499.0,499.0,499.0,499.0,10404,500.0,5237023.3,,-1.0,-0.2,,,,,0,
NICLBSL,547.0,547.0,547.0,547.0,547.0,7143,549.0,3906603.8,,-2.0,-0.36,,,,,0,
NICSF,8.9,8.9,8.9,8.9,8.9,0,8.56,59265.0,,0.34,3.97,,,,,0,
NIFRA,245.1,245.1,245.1,245.1,245.1,40495,246.0,9944689.1,,-0.9,-0.37,,,,,0,
NIFRAGED,1030.0,1030.0,1030.0,1030.0,1030.0,0,1028.0,1662185.0,,2.0,0.19,,,,,0,
NIL,615.9,615.9,615.9,615.9,615.9,8458,615.1,5175827.7,,0.8,0.13,,,,,0,
NIMB,195.0,195.0,195.0,195.0,195.0,75911,195.9,14749305.1,,-0.9,-0.46,,,,,0,
NIMBPO,145.0,145.0,145.0,145.0,145.0,27255,142.0,3977817.5,,3.0,2.11,,,,,0,
NLG,570.0,570.0,570.0,570.0,570.0,1670,567.0,940111.1,,3.0,0.53,,,,,0,
NLIC,739.8,739.8,739.8,739.8,739.8,18768,743.8,13856715.7,,-4.0,-0.54,,,,,0,
NLICL,562.0,562.0,562.0,562.0,562.0,16965,570.0,9595491.2,,-8.0,-1.4,,,,,0,
NMB,243.1,243.1,243.1,243.1,243.1,49980,243.9,12152170.1,,-0.8,-0.33,,,,,0,
NMB50,10.38,10.38,10.38,10.38,10.38,0,10.6,76275.54,,-0.22,-2.08,,,,,0,
NMBHF2,9.69,9.69,9.69,9.69,9.69,0,9.6,156413.0,,0.09,0.94,,,,,0,
NMBMF,616.0,616.0,616.0,616.0,616.0,707,614.7,423911.5,,1.3,0.21,,,,,0,
NMFBS,1101.4,1101.4,1101.4,1101.4,1101.4,7110,1105.0,7838412.6,,-3.6,-0.33,,,,,0,
NMIC,910.0,910.0,910.0,910.0,910.0,1872,913.0,1699569.2,,-3.0,-0.33,,,,,0,
NMLBBL,515.1,515.1,515.1,515.1,515.1,6361,516.0,3263431.2,,-0.9,-0.17,,,,,0,
NRIC,932.0,932.0,932.0,932.0,932.0,7177,938.9,6688884.1,,-6.9,-0.73,,,,,0,
NRM,305.1,305.1,305.1,305.1,305.1,4650,310.5,1432440.1,,-5.4,-1.74,,,,,0,
NRN,1371.0,1371.0,1371.0,1371.0,1371.0,51374,1387.0,70592764.8,,-16.0,-1.15,,,,,0,
NSIF2,10.8,10.8,10.8,10.8,10.8,0,10.68,525765.0,,0.12,1.12,,,,,0,
NSY,9.19,9.19,9.19,9.19,9.19,0,9.19,213571.0,,0.0,0.0,,,,,0,
NTC,863.9,863.9,863.9,863.9,863.9,8319,862.0,7195105.2,,1.9,0.22,,,,,0,
NUBL,605.4,605.4,605.4,605.4,605.4,2996,613.0,1814556.8,,-7.6,-1.24,,,,,0,
NWCL,688.0,688.0,688.0,688.0,688.0,4545,696.9,3103931.4,,-8.9,-1.28,,,,,0,
NYADI,370.0,370.0,370.0,370.0,370.0,5382,372.2,1972606.0,,-2.2,-0.59,,,,,0,
OHL,665.0,665.0,665.0,665.0,665.0,2378,670.0,1562800.0,,-5.0,-0.75,,,,,0,
OMPL,893.0,893.0,893.0,893.0,893.0,4184,905.0,3750980.5,,-12.0,-1.33,,,,,0,
PBD84,1069.0,1069.0,1069.0,1069.0,1069.0,0,1102.0,26725.0,,-33.0,-2.99,,,,,0,
PCBL,240.0,240.0,240.0,240.0,240.0,41391,240.1,9925898.8,,-0.1,-0.04,,,,,0,
PCIL,622.29,622.29,622.29,622.29,622.29,23281,635.0,14498135.71,,-12.71,-2.0,,,,,0,
PHCL,296.0,296.0,296.0,296.0,296.0,27204,297.5,8041596.5,,-1.5,-0.5,,,,,0,
PMHPL,318.0,318.0,318.0,318.0,318.0,6014,319.0,1891035.0,,-1.0,-0.31,,,,,0,
PMLI,437.5,437.5,437.5,437.5,437.5,1893,438.7,810918.9,,-1.2,-0.27,,,,,0,
PPCL,338.9,338.9,338.9,338.9,338.9,4212,340.0,1419489.7,,-1.1,-0.32,,,,,0,
PPL,328.4,328.4,328.4,328.4,328.4,9314,330.0,3034464.1,,-1.6,-0.48,,,,,0,
PRIN,666.0,666.0,666.0,666.0,666.0,3998,670.5,2662571.6,,-4.5,-0.67,,,,,0,
PROFL,420.0,420.0,420.0,420.0,420.0,13809,423.1,5790234.3,,-3.1,-0.73,,,,,0,
PRSF,12.91,12.91,12.91,12.91,12.91,0,12.89,121324.0,,0.02,0.16,,,,,0,
PRVU,191.0,191.0,191.0,191.0,191.0,132896,192.3,25352795.1,,-1.3,-0.68,,,,,0,
PSF,12.0,12.0,12.0,12.0,12.0,0,11.8,45231.0,,0.2,1.69,,,,,0,
PURE,820.0,820.0,820.0,820.0,820.0,20112,825.5,16735279.1,,-5.5,-0.67,,,,,0,
RADHI,711.0,711.0,711.0,711.0,711.0,64637,715.0,45724012.0,,-4.0,-0.56,,,,,0,
RAWA,420.0,420.0,420.0,420.0,420.0,14270,425.9,5996371.6,,-5.9,-1.39,,,,,0,
RBBF40,9.01,9.01,9.01,9.01,9.01,0,9.03,17817.52,,-0.02,-0.22,,,,,0,
RBCL,14210.0,14210.0,14210.0,14210.0,14210.0,40,14300.0,565300.0,,-90.0,-0.63,,,,,0,
RFPL,334.7,334.7,334.7,334.7,334.7,15251,333.2,5076626.3,,1.5,0.45,,,,,0,
RHGCL,258.1,258.1,258.1,258.1,258.1,12524,261.0,3236443.7,,-2.9,-1.11,,,,,0,
RHPL,259.0,259.0,259.0,259.0,259.0,4000,256.5,1025084.5,,2.5,0.97,,,,,0,
RIDI,375.0,375.0,375.0,375.0,375.0,606959,384.9,230190274.7,,-9.9,-2.57,,,,,0,
RLEL,890.0,890.0,890.0,890.0,890.0,4579,886.0,4033317.8,,4.0,0.45,,,,,0,
RLFL,452.6,452.6,452.6,452.6,452.6,10292,457.0,4686143.8,,-4.4,-0.96,,,,,0,
RMF1,9.67,9.67,9.67,9.67,9.67,0,9.68,175255.5,,-0.01,-0.1,,,,,0,
RMF2,9.78,9.78,9.78,9.78,9.78,0,9.85,2928.0,,-0.07,-0.71,,,,,0,
RNLI,431.7,431.7,431.7,431.7,431.7,8967,432.5,3833860.1,,-0.8,-0.18,,,,,0,
RSDC,638.0,638.0,638.0,638.0,638.0,2369,635.0,1497444.2,,3.0,0.47,,,,,0,
